grid_width,polygon_complexity,scanline_mean_ms,scanline_median_ms,triangle_mean_ms,triangle_median_ms,triangle_triangulation_mean_ms,triangle_triangulation_median_ms,triangle_rasterization_mean_ms,triangle_rasterization_median_ms,speedup_mean,speedup_median
256,20,0.017070939065888472,0.0113954301923513,0.07479374180547889,0.07131253369152545,0.010672910138964606,0.0082295155152678,0.06412083166651424,0.06310449680313465,4.381349000005126,6.257993993012302
256,100,0.014462455874308906,0.0123329809866845,0.14867095742374653,0.13825052883476016,0.022593693574890446,0.019770988728851052,0.12607726384885604,0.11943798745051025,10.27978641496466,11.20982258742023
256,300,0.01386240473948414,0.013812503311783051,0.17325395601801571,0.1723749446682632,0.0442540913354605,0.04360399907454845,0.12899986468255514,0.12818753020837895,12.498116977102704,12.479631010927257
512,20,0.04010624252259727,0.036228972021490294,0.2716604911256581,0.25914644356817007,0.010697997640818314,0.008854549378156652,0.26096249348483974,0.24995900457724923,6.773521378189318,7.153016746223151
512,100,0.04072914016433055,0.03799999831244345,0.3895105794072151,0.380208482965827,0.018952146638184737,0.0178125337697565,0.3705584327690303,0.36214600550010795,9.56343732854782,10.005486838175047
512,300,0.040962343337014276,0.0403540325351059,0.48714763834141195,0.4702089936472475,0.04967689746990794,0.04716654075309625,0.43747074087150395,0.4229999613016844,11.89257251064582,11.652094328818073
1024,20,0.15135416178964073,0.1251249341294169,0.9997563494835049,0.9797704988159239,0.014935451326891738,0.0097085139714181,0.9848208981566131,0.9684584802016616,6.60541036772424,7.830337779059656
1024,100,0.14532490167766804,0.13218750245869154,1.3907351880334318,1.3246460002847016,0.03426028997637327,0.024270499125123,1.3564748980570585,1.2931665405631065,9.56983402003667,10.0209624635177
1024,300,0.17869148286990819,0.14293746789917344,1.5554937010165304,1.507166016381234,0.06648538983426984,0.055874988902360145,1.4890083111822605,1.4386665425263345,8.704912377659143,10.544233352757953
2048,20,0.5422707414254546,0.46441645827144384,3.93206849694252,3.953437495511025,0.0485456432215869,0.0397079857066273,3.883522853720933,3.919103997759521,7.251116825160771,8.5126989474613
2048,100,0.47008543624542654,0.4553334438242018,4.710343654733151,4.673333023674786,0.053233251674100715,0.04731200169771905,4.65711040305905,4.606166505254805,10.020186314119146,10.263540021187413
2048,300,0.49682098906487226,0.48216700088232756,5.066124931909144,5.034166038967669,0.08503534481860693,0.0862505403347313,4.981089587090537,4.957124532666057,10.197083141444404,10.440710437992527
